月份,口径,销售额USD,毛利USD,销量按PN,销量按主机数,毛利率,状态,客户/区域,产品类别,SKU/PN,数据来源,备注
2026-01,总计（已出货+额外资源）,17893655,10141052,132564,146496,0.566740109832228,actual_total,全部,全部,汇总,库存情况及6月销售计划.xlsx/业绩情况,后续明细需拆 actual_shipped 与 extra_resource
2026-06,6月预计,24018602.5,9291050.67455327,185258,209007.232815271,0.386827280003209,plan,全部,全部,汇总,库存情况及6月销售计划.xlsx/业绩情况,计划值必须标plan，不能当已出货
